Operation Time (d)   Fluence (10E21nvt)   QPPP (W/m^3)    Burnup (FIMA)    Coolant T (C)
       6.406               0.005          0.22170E+07        0.0002          460.211
      12.812               0.014          0.36763E+07        0.0006          477.242
      19.218               0.028          0.59363E+07        0.0013          504.925
      25.624               0.047          0.79900E+07        0.0023          542.366
      32.030               0.068          0.87297E+07        0.0035          583.375
      38.436               0.089          0.86967E+07        0.0048          624.257
      44.842               0.108          0.81419E+07        0.0060          662.521
      51.248               0.126          0.73006E+07        0.0072          696.806
      57.654               0.141          0.63350E+07        0.0082          726.522
      64.060               0.155          0.54879E+07        0.0090          752.146
      70.466               0.168          0.47408E+07        0.0098          774.227
      76.872               0.180          0.43342E+07        0.0105          794.379
      83.278               0.191          0.39739E+07        0.0111          812.834
      89.684               0.201          0.39584E+07        0.0117          831.204
      96.090               0.210          0.40514E+07        0.0122          850.000
     108.902               0.215          0.21030E+07        0.0125          460.211
     115.308               0.224          0.34970E+07        0.0129          477.242
     121.714               0.238          0.56564E+07        0.0136          504.925
     128.120               0.257          0.76126E+07        0.0145          542.366
     134.526               0.278          0.83014E+07        0.0157          583.375
     140.932               0.299          0.82456E+07        0.0169          624.257
     147.338               0.318          0.76946E+07        0.0181          662.521
     153.744               0.336          0.68780E+07        0.0192          696.806
     160.150               0.351          0.59509E+07        0.0201          726.522
     166.556               0.365          0.51348E+07        0.0209          752.146
     172.962               0.378          0.44237E+07        0.0216          774.227
     179.368               0.390          0.40356E+07        0.0223          794.379
     185.774               0.401          0.36939E+07        0.0228          812.834
     192.180               0.411          0.36745E+07        0.0234          831.204
     198.586               0.420          0.37569E+07        0.0239          850.000
     211.398               0.425          0.19195E+07        0.0241          460.211
     217.804               0.434          0.31956E+07        0.0245          477.242
     224.210               0.448          0.51783E+07        0.0251          504.925
     230.616               0.467          0.69790E+07        0.0260          542.366
     237.022               0.488          0.76161E+07        0.0271          583.375
     243.428               0.509          0.75668E+07        0.0282          624.257
     249.834               0.528          0.70608E+07        0.0293          662.521
     256.240               0.546          0.63103E+07        0.0303          696.806
     262.646               0.561          0.54579E+07        0.0311          726.522
     269.052               0.575          0.47033E+07        0.0319          752.146
     275.458               0.588          0.40491E+07        0.0325          774.227
     281.864               0.600          0.36920E+07        0.0331          794.379
     288.270               0.611          0.33783E+07        0.0336          812.834
     294.676               0.621          0.33598E+07        0.0341          831.204
     301.082               0.630          0.34348E+07        0.0346          850.000
     313.894               0.637          0.22038E+07        0.0358          464.076
     320.300               0.650          0.37185E+07        0.0362          487.846
     326.706               0.669          0.53855E+07        0.0369          522.326
     333.112               0.694          0.69012E+07        0.0378          566.607
     339.518               0.721          0.74889E+07        0.0389          614.783
     345.924               0.749          0.75634E+07        0.0400          663.570
     352.330               0.775          0.72341E+07        0.0411          710.352
     358.736               0.799          0.66193E+07        0.0421          753.256
     365.142               0.820          0.57722E+07        0.0430          790.741
     371.548               0.839          0.50037E+07        0.0438          823.282
     377.954               0.853          0.41032E+07        0.0445          850.000
     390.766               0.858          0.15676E+07        0.0446          460.211
     397.172               0.867          0.26161E+07        0.0449          477.242
     403.578               0.882          0.42546E+07        0.0454          504.925
     409.984               0.900          0.57551E+07        0.0462          542.366
     416.390               0.921          0.63004E+07        0.0471          583.375
     422.796               0.942          0.62760E+07        0.0480          624.257
     429.202               0.962          0.58687E+07        0.0489          662.521
     435.608               0.979          0.52538E+07        0.0497          696.806
     442.014               0.994          0.45496E+07        0.0505          726.522
     448.420               1.009          0.39187E+07        0.0511          752.146
     454.826               1.021          0.33740E+07        0.0517          774.227
     461.232               1.033          0.30771E+07        0.0521          794.379
     467.638               1.044          0.28166E+07        0.0526          812.834
     474.044               1.055          0.28025E+07        0.0530          831.204
     480.450               1.063          0.28664E+07        0.0534          850.000
     493.262               1.070          0.15301E+07        0.0548          462.701
     499.668               1.081          0.25142E+07        0.0551          483.535
     506.074               1.098          0.38222E+07        0.0556          515.135
     512.480               1.121          0.51075E+07        0.0562          557.270
     518.886               1.146          0.56270E+07        0.0571          603.619
     525.292               1.171          0.56968E+07        0.0579          650.493
     531.698               1.196          0.53739E+07        0.0587          694.679
     538.104               1.218          0.48928E+07        0.0595          734.889
     544.510               1.238          0.42461E+07        0.0602          769.779
     550.916               1.256          0.37406E+07        0.0608          800.541
     557.322               1.272          0.31754E+07        0.0613          826.663
     563.728               1.285          0.28376E+07        0.0618          850.000
     576.540               1.292          0.16416E+07        0.0626          464.076
     582.946               1.305          0.27801E+07        0.0630          487.846
     589.352               1.325          0.40483E+07        0.0635          522.326
     595.758               1.349          0.52198E+07        0.0642          566.607
     602.164               1.377          0.56993E+07        0.0650          614.783
     608.570               1.404          0.57884E+07        0.0659          663.570
     614.976               1.430          0.55638E+07        0.0667          710.352
     621.382               1.454          0.51122E+07        0.0675          753.256
     627.788               1.475          0.44724E+07        0.0682          790.741
     634.194               1.494          0.38812E+07        0.0689          823.282
     640.600               1.509          0.31887E+07        0.0694          850.000
     653.412               1.515          0.12719E+07        0.0705          462.701
     659.818               1.526          0.20949E+07        0.0708          483.535
     666.224               1.543          0.31961E+07        0.0712          515.135
     672.630               1.566          0.42882E+07        0.0718          557.270
     679.036               1.591          0.47432E+07        0.0725          603.619
     685.442               1.617          0.48197E+07        0.0732          650.493
     691.848               1.641          0.45613E+07        0.0739          694.679
     698.254               1.663          0.41647E+07        0.0746          734.889
     704.660               1.683          0.36221E+07        0.0752          769.779
     711.066               1.701          0.31933E+07        0.0757          800.541
     717.472               1.717          0.27138E+07        0.0761          826.663
     723.878               1.730          0.24287E+07        0.0765          850.000
     736.690               1.737          0.11676E+07        0.0776          462.701
     743.096               1.748          0.19254E+07        0.0778          483.535
     749.502               1.765          0.29428E+07        0.0782          515.135
     755.908               1.788          0.39562E+07        0.0787          557.270
     762.314               1.813          0.43846E+07        0.0794          603.619
     768.720               1.839          0.44635E+07        0.0801          650.493
     775.126               1.863          0.42312E+07        0.0807          694.679
     781.532               1.885          0.38688E+07        0.0813          734.889
     787.938               1.905          0.33684E+07        0.0819          769.779
     794.344               1.923          0.29710E+07        0.0824          800.541
     800.750               1.939          0.25263E+07        0.0828          826.663
     807.156               1.952          0.22626E+07        0.0832          850.000
     819.968               1.960          0.12706E+07        0.0839          464.076
     826.374               1.973          0.21595E+07        0.0842          487.846
     832.780               1.992          0.31613E+07        0.0846          522.326
     839.186               2.016          0.41011E+07        0.0851          566.607
     845.592               2.044          0.45059E+07        0.0858          614.783
     851.998               2.071          0.46029E+07        0.0865          663.570
     858.404               2.098          0.44474E+07        0.0872          710.352
     864.810               2.122          0.41044E+07        0.0879          753.256
     871.216               2.142          0.36033E+07        0.0884          790.741
     877.622               2.161          0.31316E+07        0.0890          823.282
     884.028               2.176          0.25783E+07        0.0894          850.000
       6.406               0.007          0.28194E+07        0.0002          464.076
      12.812               0.020          0.47364E+07        0.0008          487.846
      19.218               0.039          0.68311E+07        0.0016          522.326
      25.624               0.064          0.87297E+07        0.0027          566.607
      32.030               0.091          0.94669E+07        0.0041          614.783
      38.436               0.119          0.95702E+07        0.0055          663.570
      44.842               0.145          0.91690E+07        0.0068          710.352
      51.248               0.169          0.84070E+07        0.0081          753.256
      57.654               0.190          0.73484E+07        0.0093          790.741
      64.060               0.209          0.63993E+07        0.0103          823.282
      70.466               0.223          0.52582E+07        0.0111          850.000
      83.278               0.231          0.26728E+07        0.0125          464.076
      89.684               0.244          0.45000E+07        0.0131          487.846
      96.090               0.263          0.64953E+07        0.0139          522.326
     102.496               0.288          0.82955E+07        0.0149          566.607
     108.902               0.315          0.89774E+07        0.0162          614.783
     115.308               0.342          0.90484E+07        0.0175          663.570
     121.714               0.369          0.86414E+07        0.0188          710.352
     128.120               0.393          0.78986E+07        0.0201          753.256
     134.526               0.414          0.68838E+07        0.0211          790.741
     140.932               0.432          0.59731E+07        0.0221          823.282
     147.338               0.447          0.48975E+07        0.0229          850.000
     160.150               0.453          0.37950E+07        0.0229          466.163
     166.556               0.463          0.65626E+07        0.0237          494.122
     172.962               0.478          0.93505E+07        0.0248          533.984
     179.368               0.496          0.11593E+08        0.0264          583.449
     185.774               0.516          0.12599E+08        0.0281          637.268
     192.180               0.537          0.12642E+08        0.0300          691.341
     198.586               0.556          0.11719E+08        0.0318          741.536
     204.992               0.575          0.10184E+08        0.0334          785.217
     211.398               0.591          0.82414E+07        0.0347          820.763
     217.804               0.604          0.68331E+07        0.0359          850.000
     230.616               0.610          0.18689E+07        0.0375          462.701
     237.022               0.622          0.30633E+07        0.0379          483.535
     243.428               0.639          0.46398E+07        0.0384          515.135
     249.834               0.661          0.61747E+07        0.0392          557.270
     256.240               0.686          0.67759E+07        0.0402          603.619
     262.646               0.712          0.68356E+07        0.0412          650.493
     269.052               0.736          0.64280E+07        0.0422          694.679
     275.458               0.759          0.58370E+07        0.0431          734.889
     281.864               0.778          0.50555E+07        0.0439          769.779
